,BENCHMARK,MEAN_INF-LIM2_NORM_FP_RATE,MEAN_INF-LIM2_NORM_DETECTED_TROJ,MEAN_INF-LIM4_NORM_FP_RATE,MEAN_INF-LIM4_NORM_DETECTED_TROJ,MEDIAN_INF-LIM2_NORM_FP_RATE,MEDIAN_INF-LIM2_NORM_DETECTED_TROJ,MEDIAN_INF-LIM4_NORM_FP_RATE,MEDIAN_INF-LIM4_NORM_DETECTED_TROJ
49,"b12
(for >= 0.9)",16.344086021505376,no trojan,4.086021505376344,no trojan,43.44086021505376,no trojan,21.0752688172043,no trojan
50,"b12
(for >= 1)",2.795698924731183,no trojan,1.0752688172043012,no trojan,7.741935483870968,no trojan,9.67741935483871,no trojan
51,"b13
(for >= 0.8)",8.461538461538462,no trojan,1.5384615384615385,no trojan,22.30769230769231,no trojan,7.6923076923076925,no trojan
52,"b13
(for >= 0.9)",3.8461538461538463,no trojan,0.7692307692307693,no trojan,14.615384615384617,no trojan,6.153846153846154,no trojan
53,"b13
(for >= 1)",0.0,no trojan,0.0,no trojan,2.307692307692308,no trojan,2.307692307692308,no trojan
54,"b30
(for >= 0.8)",3.149606299212598,no trojan,1.574803149606299,no trojan,17.322834645669293,no trojan,5.511811023622047,no trojan
55,"b30
(for >= 0.9)",2.3622047244094486,no trojan,0.7874015748031495,no trojan,11.811023622047244,no trojan,3.149606299212598,no trojan
56,"b30
(for >= 1)",0.0,no trojan,0.0,no trojan,2.3622047244094486,no trojan,2.3622047244094486,no trojan
57,"c5315
(for >= 0.8)",1.6326530612244898,no trojan,0.0,no trojan,8.979591836734693,no trojan,3.4693877551020407,no trojan
58,"c5315
(for >= 0.9)",1.0204081632653061,no trojan,0.0,no trojan,4.6938775510204085,no trojan,1.6326530612244898,no trojan
59,"c5315
(for >= 1)",0.6122448979591837,no trojan,0.0,no trojan,1.4285714285714286,no trojan,0.20408163265306123,no trojan
